0;30;126;21;131;98;97;114;104;155;19;104;119;162;176;36;102;107;124;63;13;49;157;173;153;13;39;129;92;179;54
112;0;59;127;56;34;161;88;124;195;17;199;159;38;21;66;94;64;150;24;36;176;13;43;25;85;191;134;63;21;144
132;124;0;49;181;187;98;172;62;145;82;153;69;150;75;92;198;11;154;145;147;75;167;174;72;89;185;38;140;85;17
88;120;159;0;9;125;182;175;53;16;19;16;19;83;77;179;82;7;105;128;79;94;200;46;24;72;9;115;67;107;34
102;101;58;192;0;87;75;110;29;51;43;193;129;75;154;8;11;148;8;175;109;134;78;179;186;172;120;184;160;154;102
74;199;182;183;194;0;131;73;64;39;80;115;185;78;149;111;170;107;170;12;61;160;143;200;84;115;36;175;197;179;139
29;31;142;78;23;199;0;147;32;34;49;26;157;115;131;178;115;178;164;80;138;95;142;18;102;170;153;186;136;20;70
186;40;148;141;156;154;138;0;12;194;94;47;162;51;96;78;125;173;26;194;7;111;63;182;15;69;85;115;169;149;192
36;14;120;109;196;166;144;197;0;164;17;193;153;21;25;76;69;13;144;169;57;191;51;127;64;81;184;108;179;89;113
105;156;120;176;174;200;97;14;60;0;42;34;127;157;67;14;158;59;93;69;136;158;42;7;46;153;179;199;157;196;37
192;15;167;142;136;50;190;135;23;43;0;112;90;142;175;82;134;22;14;165;168;189;154;66;85;83;95;80;58;181;74
156;126;12;152;63;34;95;65;122;158;150;0;200;93;93;114;114;88;31;50;134;156;156;21;191;126;138;21;46;196;120
165;127;102;162;26;116;176;52;32;114;50;5;0;185;78;153;45;94;82;158;106;109;147;86;56;193;157;58;49;88;197
94;40;116;81;171;200;74;24;117;108;12;19;126;0;164;196;50;164;101;66;76;109;19;81;50;73;175;16;152;126;47
197;56;112;116;39;83;126;36;113;198;188;195;139;58;0;148;144;16;122;120;98;63;12;144;120;21;30;88;135;15;126
118;187;187;126;81;96;111;5;47;178;108;115;21;59;67;0;15;143;55;17;190;194;70;161;75;129;121;70;189;200;62
46;141;37;159;176;167;188;154;105;8;200;171;73;162;150;131;0;60;104;25;149;84;35;178;164;45;67;9;100;110;154
130;100;86;45;140;153;168;90;64;196;162;50;150;58;13;175;78;0;66;149;139;156;138;77;108;128;128;197;144;100;33
101;174;136;98;155;25;184;156;42;59;199;24;45;9;72;37;73;122;0;117;89;35;68;158;34;112;192;62;7;62;197
17;146;168;97;38;120;158;112;18;195;116;12;135;120;20;143;92;94;33;0;165;93;113;66;183;148;133;135;104;122;156
171;90;18;106;128;104;115;135;44;114;35;165;20;155;18;154;31;119;163;177;0;93;126;123;83;116;71;127;58;158;110
107;35;114;161;56;54;105;135;122;73;24;184;26;199;85;27;169;38;152;24;133;0;49;140;107;191;11;155;115;124;133
29;185;165;172;29;119;109;103;64;179;18;199;133;152;88;180;179;54;92;145;62;193;0;33;106;69;26;175;185;107;86
10;41;134;160;20;56;36;10;87;128;35;31;32;17;49;88;112;24;134;6;72;25;50;0;90;68;121;42;10;65;72
96;189;160;150;52;5;150;17;199;95;58;62;34;164;51;18;198;140;71;120;84;60;103;167;0;112;103;149;55;155;95
69;89;192;80;26;14;184;124;81;100;200;195;168;179;107;134;174;66;118;60;65;119;76;199;61;0;105;38;198;166;7
86;104;198;14;124;59;78;178;119;114;73;189;70;176;92;185;94;126;10;127;155;111;180;121;22;71;0;90;108;24;55
18;150;34;134;104;37;101;143;131;143;28;136;72;193;7;21;160;134;48;51;60;154;128;139;110;94;167;0;102;65;87
74;114;40;5;124;33;196;89;26;173;126;159;151;172;7;180;105;99;51;34;62;147;118;40;112;57;9;104;0;135;67
110;113;34;157;195;96;52;178;197;141;55;95;172;37;11;51;30;107;184;103;146;144;17;77;9;166;16;73;112;0;161
187;250;136;53;21;79;61;108;18;60;184;195;60;134;82;7;48;79;79;60;52;197;66;51;81;178;46;158;77;174;0
